ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA,MACRO_CATEGORIA
44,IT07155170157_vs6i0,09247360960,4,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,BAGUETTE 250 G CRF,2.16,0.72,Food,Costi Variabili
45,IT07155170157_vs6i0,09247360960,22,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SHOPPER EXPRESS COMPOSTABIL,0.1,0.1,Food,Costi Variabili
46,IT07155170157_vv1g3,09247360960,4,2024-01-10,12683790153,,7.05,5316291,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,SOTTILETTE BURGER CON CHEDD,6.78,2.26,Food,Costi Variabili
47,IT07155170157_w16dq,09247360960,10,2024-01-12,12683790153,,5.99,5321015,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,MENTA GR.30,0.91,0.91,Food,Costi Variabili
48,IT07155170157_w16dq,09247360960,10,2024-01-12,12683790153,,5.99,5321015,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,TAV.EXCELLENCE LINDT F.,2.17,2.17,Food,Costi Variabili
49,IT07155170157_w16dq,09247360960,4,2024-01-12,12683790153,,5.99,5321015,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,LATTE CLAM AQ 500 ML,2.5,1.25,Food,Costi Variabili
50,IT07155170157_w4nr2,09247360960,4,2024-01-13,12683790153,,23.47,5323542,TD01,GS S.p.A.,VIA STENDHAL 30,13.0,SOTTILETTE BURGER CON CHEDD,22.62,2.26,Food,Costi Variabili
51,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAVOLI BIANCHI CONF.GR.150,1.25,1.25,Food,Costi Variabili
52,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,CAROTE JULIENNE CONF.GR.200,2.5,1.25,Food,Costi Variabili
53,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,BIS CAVOLI BIANCHI/VIOLA CO,1.25,1.25,Food,Costi Variabili
